Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
18261160,5959,1,87,7516,974,1027,77.2177468,28.6207574,1683,5000,4,1,0,0,0,4,3.9,5,2,66
18219539,4180,1,87,7515,974,1027,77.2178366,28.620766,1791,2000,4,1,0,0,0,4,4.1,1,5,68
311369,6262,1,87,7516,974,1027,77.2179096,28.6206188,1418,3800,4,1,0,0,0,4,4.3,1,5,400
308769,1098,1,87,28,975,1028,77.1686023,28.5770825,331,450,4,0,0,0,0,1,3.4,2,0,29
220,2096,1,87,2607,975,1028,77.1684077,28.5771317,1626,700,4,0,0,0,0,2,2.8,2,0,85
301675,3860,1,87,3031,977,1030,77.2667541,28.6597548,3,500,4,0,0,0,0,2,0.0,4,3,3
18144466,5744,1,87,142,978,1031,77.181974,28.5222793,331,350,4,0,0,0,0,1,3.1,2,0,14
2739,1870,1,87,7530,979,1032,77.2159186,28.52678296,1699,4000,4,1,0,0,0,4,4.0,1,5,315
18133508,1943,1,87,7530,979,1032,77.2159186,28.52678296,1402,3000,4,1,0,0,0,4,4.0,1,5,160
2741,4786,1,87,7530,979,1032,77.2153849,28.527002,596,3000,4,1,0,0,0,4,4.2,1,5,327
308386,2096,1,87,4907,1005,1058,77.2204886,28.5694195,1626,700,4,0,0,0,0,2,2.5,2,0,58
3170,3532,1,87,8545,1005,1058,77.2203517,28.5691173,1306,800,4,0,0,0,0,2,3.4,2,0,64
7760,4070,1,87,5158,1005,1058,77.2197229,28.5695952,837,500,4,0,0,0,0,2,3.3,2,0,73
18425186,4635,1,87,5025,1005,1058,77.2205016,28.5691333,736,800,4,1,0,0,0,2,3.3,2,0,12
311272,5190,1,87,5529,1005,1058,77.2210703,28.5699028,201,500,4,0,1,0,0,2,2.6,2,0,24
310891,6098,1,87,5027,1005,1058,77.2208907,28.5694375,58,500,4,0,1,0,0,2,3.4,2,0,167
9095,915,1,87,5145,1005,1058,77.2197229,28.5695952,1751,150,4,0,0,0,0,1,3.9,5,2,357
305763,6737,1,87,8545,1005,1058,77.221205,28.5723805,1480,900,4,0,1,0,0,2,3.5,5,2,174
18175302,74,1,87,3078,1005,1058,77.2249885,28.5683377,549,350,4,0,0,0,0,1,0.0,4,3,0
18337762,5397,1,87,6608,1005,1058,77.224753,28.5759899,177,200,4,0,0,0,0,1,0.0,4,3,1
18312639,6084,1,87,4342,1005,1058,77.2208008,28.5732831,828,300,4,0,0,0,0,1,0.0,4,3,0
18337895,6084,1,87,4344,1005,1058,77.2205516,28.5733106,828,300,4,0,0,0,0,1,0.0,4,3,0
307418,1881,1,87,8545,1005,1058,77.2231362,28.5712648,521,600,4,0,0,0,0,2,2.3,3,4,59
3686,188,1,87,1532,1006,1059,77.22013604,28.56371164,1508,400,4,0,0,0,0,1,2.9,2,0,18
18449626,1027,1,87,6305,1006,1059,77.220457,28.56350464,828,100,4,0,1,0,0,1,2.9,2,0,13
7761,1098,1,87,726,1006,1059,77.2195433,28.568144,331,450,4,0,0,0,0,1,3.4,2,0,31
9842,1249,1,87,2293,1006,1059,77.21960362,28.56415599,201,250,4,0,0,0,0,1,3.2,2,0,11
18254523,1482,1,87,4030,1006,1059,77.2211739,28.5676697,828,300,4,0,0,0,0,1,2.9,2,0,4
312378,1575,1,87,8201,1006,1059,77.21890088,28.56435417,497,500,4,0,0,0,0,2,3.1,2,0,11
18358171,1756,1,87,4603,1006,1059,77.2208202,28.5676806,331,600,4,0,0,0,0,2,3.1,2,0,6
307474,2096,1,87,4583,1006,1059,77.2198813,28.5681089,1626,700,4,0,0,0,0,2,2.9,2,0,63
9083,2782,1,87,2277,1006,1059,77.21914127,28.5642885,1329,600,4,0,0,0,0,2,3.4,2,0,29
310705,2834,1,87,2261,1006,1059,77.21891731,28.56432472,497,600,4,0,0,0,0,2,3.1,2,0,20
310701,3422,1,87,4642,1006,1059,77.2213698,28.567969,828,400,4,0,0,0,0,1,3.0,2,0,7
306934,3526,1,87,4629,1006,1059,77.2211601,28.5679395,497,600,4,0,1,0,0,2,3.2,2,0,50
305651,4074,1,87,3733,1006,1059,77.21951243,28.56420752,1329,400,4,0,0,0,0,1,2.8,2,0,13
9094,4228,1,87,6019,1006,1059,77.219267,28.56414863,1329,600,4,0,0,0,0,2,2.8,2,0,17
93,5032,1,87,4616,1006,1059,77.2192289,28.5684277,549,1200,4,1,0,0,0,3,2.7,2,0,31
9099,5309,1,87,6021,1006,1059,77.21940279,28.56419015,1650,400,4,0,0,0,0,1,2.8,2,0,13
18312618,5486,1,87,4629,1006,1059,77.2212868,28.5679028,230,150,4,0,0,0,0,1,3.1,2,0,6
18146398,6752,1,87,1335,1006,1059,77.22041389,28.5617,497,350,4,0,0,0,0,1,3.2,2,0,14
3298,7199,1,87,4616,1006,1059,77.2193667,28.5689576,549,2200,4,1,0,0,0,4,3.2,2,0,28
305684,264,1,87,1632,1006,1059,77.219739,28.566755,186,350,4,0,1,0,0,1,3.8,5,2,68
7759,1232,1,87,4642,1006,1059,77.221205,28.5677197,201,250,4,0,0,0,0,1,3.8,5,2,160
302503,1374,1,87,4596,1006,1059,77.2193637,28.5681269,982,100,4,0,0,0,0,1,3.6,5,2,29
677,1584,1,87,4642,1006,1059,77.2212499,28.5675895,497,500,4,0,0,0,0,2,3.6,5,2,87
305826,1756,1,87,8459,1006,1059,77.2196331,28.5680629,331,600,4,0,0,0,0,2,3.8,5,2,68
743,1869,1,87,4587,1006,1059,77.2199924,28.5680075,533,1100,4,0,0,0,0,3,3.5,5,2,273
18345751,2095,1,87,8546,1006,1059,0.0,0.0,250,800,4,0,1,0,0,2,3.7,5,2,89
2250,2789,1,87,4609,1006,1059,77.2192738,28.567939,1306,450,4,0,1,0,0,1,3.5,5,2,104
18352214,3982,1,87,4582,1006,1059,77.2201272,28.5677962,1373,900,4,0,0,0,0,2,3.5,5,2,40
192,4070,1,87,4615,1006,1059,77.2191601,28.5684461,837,500,4,0,1,0,0,2,3.6,5,2,167
483,4299,1,87,4615,1006,1059,77.2195433,28.5682336,1520,1500,4,1,1,0,0,3,3.6,5,2,177
1675,5140,1,87,4610,1006,1059,77.21900079,28.56776639,1514,650,4,0,0,0,0,2,3.6,5,2,215
18451269,6991,1,87,6970,1006,1059,0.0,0.0,126,1000,4,0,1,0,0,3,3.8,5,2,24
18312616,335,1,87,2066,1006,1059,77.21940547,28.56402849,1262,150,4,0,0,0,0,1,0.0,4,3,2
7793,1105,1,87,4643,1006,1059,77.2213733,28.5680393,828,250,4,0,0,0,0,1,0.0,4,3,3
18231390,1626,1,87,4024,1006,1059,0.0,0.0,186,600,4,0,0,0,0,2,0.0,4,3,2
18427231,1614,1,87,4360,1006,1059,0.0,0.0,198,300,4,0,0,0,0,1,0.0,4,3,2
18427201,2267,1,87,6082,1006,1059,77.21986,28.56847,1334,2000,4,1,0,0,0,4,0.0,4,3,3
1129,5309,1,87,2290,1006,1059,77.2384497,28.5374478,1650,400,4,0,0,0,0,1,0.0,4,3,1
18424170,5991,1,87,6020,1006,1059,77.2191391,28.5642064,249,300,4,0,0,0,0,1,0.0,4,3,1
18306530,1676,1,87,4384,1006,1059,77.2174773,28.5686642,1355,1300,4,1,1,0,0,3,4.0,1,5,489
18332063,6797,1,87,4390,1006,1059,77.2174933,28.5684463,420,800,4,0,1,0,0,2,4.1,1,5,149
309852,1697,1,87,1733,1009,1062,77.2192708,28.5279802,1354,2500,4,1,0,0,0,4,3.3,2,0,179
18245284,38,1,87,295,1009,1062,77.21947454,28.52748139,693,1200,4,1,0,0,0,3,3.6,5,2,217
310413,1484,1,87,8904,1010,1063,77.20365521,28.68093208,1618,600,4,0,0,0,0,2,2.6,2,0,27
18261739,3893,1,87,8902,1010,1063,77.20388161,28.68096059,1306,400,4,0,1,0,0,1,2.9,2,0,18
311068,3903,1,87,8903,1010,1063,77.20394421,28.68088884,758,450,4,0,1,0,0,1,3.8,5,2,72
308175,6072,1,87,1056,1010,1063,77.20384263,28.68091678,331,700,4,0,0,0,0,2,3.7,5,2,147
18276343,7297,1,87,8902,1010,1063,77.20383894,28.68082913,497,500,4,0,1,0,0,2,3.6,5,2,22
4682,275,1,87,8561,1017,1070,77.296194,28.5929234,1514,350,4,0,0,0,0,1,3.2,2,0,17
6191,1098,1,87,5439,1017,1070,77.2961448,28.5925115,331,450,4,0,0,0,0,1,2.7,2,0,29
1275,1711,1,87,7275,1017,1070,77.2965607,28.5924186,1520,850,4,1,1,0,0,2,2.5,2,0,117
2934,2843,1,87,4966,1017,1070,77.296653,28.5934846,516,1100,4,1,0,0,0,3,3.2,2,0,88
308801,4177,1,87,4776,1017,1070,77.2963556,28.5925202,1334,1250,4,1,0,0,0,3,3.3,2,0,131
4854,4954,1,87,2335,1017,1070,77.2963154,28.5926711,1102,800,4,0,1,0,0,2,2.7,2,0,87
306178,4975,1,87,5439,1017,1070,77.2963765,28.5925353,1334,1400,4,1,0,0,0,3,3.3,2,0,91
310538,124,1,87,7550,1019,1072,77.119028,28.6344547,1444,250,4,0,0,0,0,1,3.0,2,0,6
305579,180,1,87,6250,1019,1072,77.1113233,28.6341298,1241,100,4,0,0,0,0,1,2.8,2,0,5
17977785,1767,1,87,301,1019,1072,77.1217748,28.6370077,518,600,4,0,0,0,0,2,3.1,2,0,10
18037814,1873,1,87,3516,1019,1072,77.1017824,28.6375856,1699,200,4,0,0,0,0,1,3.0,2,0,4
18472638,2386,1,87,2783,1019,1072,77.1184112,28.6362124,854,400,4,0,0,0,0,1,3.2,2,0,10
18168154,3259,1,87,3059,1019,1072,77.1057254,28.6400959,1329,400,4,0,0,0,0,1,3.2,2,0,11
18424579,3665,1,87,7559,1019,1072,77.0998378,28.6359711,1306,200,4,0,0,0,0,1,3.3,2,0,16
305552,3907,1,87,5760,1019,1072,77.1132628,28.6341385,1306,150,4,0,0,0,0,1,3.0,2,0,5
302004,4588,1,87,306,1019,1072,77.1209657,28.6370195,1754,250,4,0,0,0,0,1,3.3,2,0,21
18386266,4747,1,87,2633,1019,1072,0.0,0.0,549,200,4,0,0,0,0,1,3.1,2,0,10
18272352,5101,1,87,3030,1019,1072,77.1200642,28.637074,1306,350,4,0,0,0,0,1,2.9,2,0,7
